title,color,year,mileage,price,body,wd,transmission,engine_volume_l,engine_power_hp
"Renault Kaptur I, 2018, 197 613 км",Белый,2018,197613.0,950000,Внедорожник 5 дв.,Передний привод,Механика,1.6,114.0
"Ford Focus II Рестайлинг, 2008, 199 000 км",КомплектацияGhia•Серебристый,2008,199000.0,390000,Седан,Передний привод,Автомат,2.0,145.0
"Renault Kaptur I, 2016, 240 000 км",Серый,2016,240000.0,820000,Внедорожник 5 дв.,Передний привод,Вариатор,1.6,114.0
"Chrysler Crossfire, 2004, 160 000 км",Серый,2004,160000.0,399900,Купе,Задний привод,Автомат,3.2,215.0
"JETOUR T2, 2025",КомплектацияExpedition•Серый,2025,,3649000,Внедорожник 5 дв.,Полный привод,Робот,2.0,245.0
"Kia Sportage IV Рестайлинг, 2022, 222 432 км",КомплектацияComfort•Чёрный,2022,222432.0,1571000,Внедорожник 5 дв.,Передний привод,Автомат,2.0,150.0
"JETOUR T2, 2024",КомплектацияExpedition•Серебристый,2024,,2974300,Внедорожник 5 дв.,Полный привод,Робот,2.0,245.0
"JETOUR T2, 2024",КомплектацияExpedition•Серебристый,2024,,2974300,Внедорожник 5 дв.,Полный привод,Робот,2.0,245.0
"Mercedes-Benz GLC 220 d I (X253) Рестайлинг, 2022, 39 593 км",КомплектацияGLC 220 d 4MATIC Premium•Чёрный,2022,39593.0,3200000,Внедорожник 5 дв.,Полный привод,Автомат,2.0,194.0
"BMW X1 18d xDrive II (F48) Рестайлинг, 2020, 39 000 км",Синий,2020,39000.0,2085200,Внедорожник 5 дв.,Полный привод,Автомат,2.0,150.0
"JETOUR T2, 2025",КомплектацияExpedition•Серебристый,2025,,4249000,Внедорожник 5 дв.,Полный привод,Робот,2.0,245.0
"Volkswagen Tiguan Allspace II Рестайлинг, 2022, 29 000 км",КомплектацияR-Line•Белый,2022,29000.0,3090000,Внедорожник 5 дв.,Полный привод,Робот,2.0,200.0
"Kia Mohave I Рестайлинг 2, 2022, 39 326 км",КомплектацияPrestige•Чёрный,2022,39326.0,3540000,Внедорожник 5 дв.,Полный привод,Автомат,3.0,249.0
"JETOUR T2, 2024",КомплектацияExpedition•Серебристый,2024,,2974300,Внедорожник 5 дв.,Полный привод,Робот,2.0,245.0
"Haval F7 I Рестайлинг, 2023, 219 783 км",Белый,2023,219783.0,1196000,Внедорожник 5 дв.,Передний привод,Робот,1.5,150.0
"Kia Carnival IV, 2022, 46 000 км",Чёрный,2022,46000.0,2694000,Минивэн,Передний привод,Автомат,2.2,202.0
"Haval H7 I, 2025",КомплектацияElite•Чёрный,2025,,2648900,Внедорожник 5 дв.,Полный привод,Робот,2.0,192.0
"Haval H7 I, 2025",КомплектацияElite•Чёрный,2025,,2648900,Внедорожник 5 дв.,Полный привод,Робот,2.0,192.0
"Haval H7 I, 2025",КомплектацияElite•Чёрный,2025,,2648900,Внедорожник 5 дв.,Полный привод,Робот,2.0,192.0
"Haval H7 I, 2025",КомплектацияElite•Чёрный,2025,,2648900,Внедорожник 5 дв.,Полный привод,Робот,2.0,192.0
"Mercedes-Benz V-Класс Long 250 d длинный III (W447) Рестайлинг, 2022, 39 000 км",Чёрный,2022,39000.0,5790000,Минивэн,Полный привод,Автомат,2.0,190.0
"Chery Tiggo 7 Pro Max I, 2023, 115 867 км",Белый,2023,115867.0,1385000,Внедорожник 5 дв.,Передний привод,Вариатор,1.5,147.0
"Haval H9 II, 2024",КомплектацияPremium•Чёрный,2024,,3899000,Внедорожник 5 дв.,Полный привод,Автомат,2.4,184.0
"Haval H9 II, 2024",КомплектацияPremium•Чёрный,2024,,3899000,Внедорожник 5 дв.,Полный привод,Автомат,2.4,184.0
"Audi Q7 45 TDI II (4M) Рестайлинг, 2021, 68 000 км",КомплектацияSport 45 TDI quattro tiptronic•Чёрный,2021,68000.0,4584000,Внедорожник 5 дв.,Полный привод,Автомат,3.0,249.0
"Mercedes-Benz GLC Coupe 220 d I (C253) Рестайлинг, 2022, 55 918 км",КомплектацияGLC 220 d 4MATIC купе Premium•Чёрный,2022,55918.0,3580000,Внедорожник 5 дв.,Полный привод,Автомат,2.0,194.0
